,speechiness,tempo
7eYCwwABFO4lXV93PwpLWK,0.0253,135.972
1oUyif0Z4BnuS6IHJBcB84,0.05,136.033
4zNuxrIo8iRc1CrcDohZq2,0.0276,120.939
6kfqzxUFCXEgM4QCdaXSDo,0.657,160.082
1Yt78wXs4KUeMrOxZu8dQT,0.0721,97.522
5IzsN9YiN576rmX3fgDgXl,0.155,176.248
2yOj1pyRC3NcvQyeZ3yAcL,0.0409,120.207
21BrE3qn6z1S3KNA4d8uPK,0.0366,90.061
0lU0iji9AFomv0zxl5JB59,0.0694,102.005
7GaflNzPucLzU07hW3j8d4,0.0384,77.295
1BeY7Qw9d77wXOqABHpffT,0.136,133.061
3RcL8zEhumtAeyuluvhQef,0.0663,89.961
2QOcDtnLi8V3aBjq4m7dbI,0.033,123.386
3U2a3TOTNBRvV1n3KBby28,0.0532,118.898
4Dx3lUUyZx5NIUl5tCZSa8,0.0467,155.849
4mJelpvjFr68tazSTwdvRt,0.0462,67.669
0An30hrLH1ZPSFyDyUM0RO,0.0432,149.969
0jF2AdhsalO1L7KkhK4LE5,0.0876,104.675
7JhH79EMWXShER60vtFHc1,0.0331,146.732
3GQnWBLRh9GiaP34RlbTbK,0.0276,99.036
1QcOsHSdUVU0PnxHafJgv8,0.055,139.882
0xLTF9HVQFdrI1olGn3bSA,0.845,200.198
6xLm5hdcUTmZPWUzPnQ9US,0.428,93.841
37iVijLSSlIbjYbl4ycUge,0.406,110.048
0gq2L4cAUyqwI8qUmSXUsw,0.179,110.971
4CDVtGS21q2sHRwkYqGGiH,0.221,159.487
3be5ey9pSoqLBu6UNtoRCc,0.0781,117.836
0M8qfWAsWZifPo1aVheGSm,0.0342,74.484
3oiHKYb11NDsLlHJZXYa53,0.229,97.013
589CLHMsRVR66WU0xrMUj8,0.0312,97.994
6i2YA4WM3FqwyO7UX7XWbx,0.0394,125
4qULqxfCRhJAXVc75UupQB,0.045,122.094
3r88vVunOlZ6ps1b9J7A3r,0.038,99.941
0NsEJsBtB7HPvNlzf0cbXS,0.0385,138.998
3TTVuFgRxgjNx0zMKHbvxY,0.0387,143.951
1qRA5BS78u3gME0loMl9AA,0.0497,98.883
40gvh6jP5qxMJuMmF9lG9A,0.0485,74.094
7vcxuMMCM5unTA3ZrY1TIw,0.0433,100.005
3gN4UFoOnRHlMl3K4kU5zG,0.0519,193.782
6vwfHkpyngJeJJxAkA6EoS,0.166,138.006
6cB125fcIdCfgRnGm3KwtC,0.0377,76.251
1drSwjKyj94xAuut3dy1m6,0.385,103.312
